Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H,,,,,,,
1030,713,V,Sacramento,27,23,25,17,92,199,201.5,600,100.5,,,,,,,
1030,714,H,NewOrleans,25,25,22,25,97,11.5,11.5,-900,7,,,,,,,
1030,715,V,Toronto,22,27,30,28,107,4,2.5,-140,2.5,,,,,,,
1030,716,H,Memphis,23,30,23,39,115,193.5,195,120,97.5,,,,,,,
1030,717,V,Cleveland,25,32,26,21,104,11.5,12,-1100,4,,,,,,,
1030,718,H,Minnesota,18,29,21,19,87,189.5,192,750,96.5,,,,,,,
1030,719,V,Orlando,29,21,25,20,95,9,9.5,-600,3.5,,,,,,,
1030,720,H,NewJersey,24,20,18,23,85,200.5,199,400,98.5,,,,,,,
1030,721,V,LAClippers,32,28,24,14,98,202.5,202.5,325,101.5,,,,,,,
1030,722,H,Utah,34,26,23,28,111,9.5,9,-450,6.5,,,,,,,
1030,723,V,GoldenState,24,27,22,28,101,227,233,190,0.5,,,,,,,
1030,724,H,Phoenix,28,34,30,31,123,7,5,-230,114,,,,,,,
1030,725,V,Dallas,24,28,26,16,94,201,204.5,310,101.5,,,,,,,
1030,726,H,LALakers,21,24,15,20,80,8.5,7.5,-380,8,,,,,,,
1031,501,V,NewJersey,24,27,28,25,104,195,191,230,96,,,,,,,
1031,502,H,Washington,28,34,37,24,123,4.5,6.5,-270,pk,,,,,,,
1031,503,V,Charlotte,21,20,13,25,79,182.5,181.5,1300,90,,,,,,,
1031,504,H,Cleveland,25,20,21,24,90,14.5,15,-2400,8.5,,,,,,,
1031,505,V,Philadelphia,40,30,26,26,141,2,2,-140,101,,,,,,,
1031,506,H,NewYork,25,26,30,41,127,205.5,206,120,3.5,,,,,,,
1031,507,V,Portland,28,26,25,28,107,4,2.5,-145,2.5,,,,,,,
1031,508,H,Houston,33,26,24,28,111,185.5,187.5,125,94.5,,,,,,,
1031,509,V,Detroit,29,20,14,22,85,188,184,125,91.5,,,,,,,
1031,510,H,Milwaukee,20,18,36,22,96,1,2,-145,3.5,,,,,,,
1031,511,V,Sacramento,27,18,30,19,94,199,201.5,2000,99.5,,,,,,,
1031,512,H,SanAntonio,34,27,34,18,113,15.5,16.5,-4000,4,,,,,,,
1031,513,V,Dallas,23,32,25,13,93,5,5,-210,3.5,,,,,,,
1031,514,H,LAClippers,27,28,16,13,84,197,195,175,98,,,,,,,
1101,701,V,Orlando,36,28,35,26,125,5,5.5,-240,100,,,,,,,
1101,702,H,Toronto,28,25,36,27,116,199,200,190,1,,,,,,,
1101,703,V,NewOrleans,20,18,31,18,87,183.5,185.5,550,92.5,,,,,,,
1101,704,H,Boston,22,25,25,25,97,12,11,-800,3,,,,,,,
1101,705,V,Chicago,27,21,22,17,87,196.5,193,160,97,,,,,,,
1101,706,H,Miami,24,25,20,26,95,3.5,4,-190,2.5,,,,,,,
1101,707,V,Portland,25,14,21,23,83,3,3,-145,1,,,,,,,
1101,708,H,OklahomaCity,15,22,19,18,74,186.5,186.5,125,92.5,,,,,,,
1101,709,V,Memphis,40,26,28,29,123,205,207,525,104,,,,,,,
1101,710,H,Denver,35,32,36,30,133,12,11,-700,6.5,,,,,,,
1101,711,V,Minnesota,34,27,24,27,112,216,220,800,110.5,,,,,,,
1101,712,H,Phoenix,35,32,29,24,120,13,13,-1500,6,,,,,,,
1101,713,V,Atlanta,25,33,18,34,110,195,196.5,350,100.5,,,,,,,
1101,714,H,LALakers,27,37,34,20,118,7.5,8.5,-450,4,,,,,,,
1102,501,V,NewJersey,14,27,7,20,68,178,175,245,88,,,,,,,
1102,502,H,Charlotte,10,23,20,26,79,7,7,-290,6,,,,,,,
1102,503,V,NewOrleans,24,28,29,30,111,3,3,-150,3.5,,,,,,,
1102,504,H,NewYork,31,27,19,40,117,205,203,130,101,,,,,,,
1102,505,V,Houston,26,28,25,34,113,205.5,202.5,310,101,,,,,,,
1102,506,H,Utah,28,29,19,20,96,8.5,8,-380,4,,,,,,,
1102,507,V,Memphis,33,21,26,30,116,200.5,206,100,104,,,,,,,
1102,508,H,Sacramento,26,30,23,31,127,1,1,-110,pk,,,,,,,
1102,509,V,Minnesota,28,20,22,20,90,193,196.5,320,97.5,,,,,,,
1102,510,H,LAClippers,30,27,14,22,93,7.5,7.5,-400,2.5,,,,,,,
1103,701,V,Washington,31,23,19,17,90,192.5,197,600,99.5,,,,,,,
1103,702,H,Cleveland,17,33,28,24,102,11.5,11.5,-800,9,,,,,,,
1103,703,V,Denver,30,25,28,28,111,4,5,-230,107.5,,,,,,,
1103,704,H,Indiana,13,26,32,22,93,223,223.5,190,2,,,,,,,
1103,705,V,Boston,19,25,25,36,105,7,7,-330,1.5,,,,,,,
1103,706,H,Philadelphia,17,19,18,20,74,191,191.5,270,95.5,,,,,,,
1103,707,V,Orlando,14,27,19,20,80,5.5,8.5,-400,5,,,,,,,
1103,708,H,Detroit,19,19,22,25,85,189,193,320,95,,,,,,,
1103,709,V,Phoenix,23,21,31,29,104,217.5,215,155,106,,,,,,,
1103,710,H,Miami,26,26,29,15,96,3.5,4.5,-175,pk,,,,,,,
1103,711,V,Milwaukee,25,18,17,21,81,192,191.5,350,95.5,,,,,,,
1103,712,H,Chicago,13,16,27,27,83,8,8.5,-450,8.5,,,,,,,
1103,713,V,LALakers,32,20,19,19,101,7.5,7,-300,4.5,,,,,,,
1103,714,H,OklahomaCity,25,26,22,17,98,193.5,193.5,250,96,,,,,,,
1103,715,V,Utah,20,17,30,18,85,201,202,220,101,,,,,,,
1103,716,H,Dallas,17,18,17,44,96,4.5,6.5,-260,5.5,,,,,,,
1103,717,V,Atlanta,15,32,25,25,97,189,193,250,98.5,,,,,,,
1103,718,H,Portland,25,23,21,22,91,6.5,7,-300,4.5,,,,,,,
1104,501,V,Detroit,28,28,21,22,99,189,193,305,96.5,,,,,,,
1104,502,H,Toronto,24,44,17,25,110,9,7.5,-370,0.5,,,,,,,
1104,503,V,Phoenix,25,27,26,22,100,224,218,260,107.5,,,,,,,
1104,504,H,Orlando,29,29,34,30,122,9,7.5,-340,2,,,,,,,
1104,505,V,Miami,31,19,16,27,93,193.5,195,115,97.5,,,,,,,
1104,506,H,Washington,17,24,25,23,89,3,2,-135,3.5,,,,,,,
1104,507,V,Denver,22,28,44,28,122,10,9.5,-570,6,,,,,,,
1104,508,H,NewJersey,23,28,26,17,94,202,199.5,420,100,,,,,,,
1104,509,V,Indiana,21,29,23,28,101,225,223.5,175,110,,,,,,,
1104,510,H,NewYork,25,31,18,15,89,3.5,5,-215,1,,,,,,,
1104,511,V,Boston,22,19,31,20,92,10,12.5,-650,11,,,,,,,
1104,512,H,Minnesota,27,22,23,18,90,186.5,186.5,450,94,,,,,,,
1104,513,V,LALakers,22,22,29,19,103,2.5,2,-130,2.5,,,,,,,
1104,514,H,Houston,22,26,26,18,102,203,203,110,99.5,,,,,,,
1104,515,V,Dallas,17,31,21,28,107,190,189.5,155,94,,,,,,,
1104,516,H,NewOrleans,25,25,24,23,114,4,4.5,-175,2,,,,,,,
1104,517,V,Atlanta,26,30,27,30,113,5,5.5,-240,3.5,,,,,,,
1104,518,H,Sacramento,24,31,32,18,105,208,207.5,190,103.5,,,,,,,
1104,519,V,Memphis,29,27,24,25,105,223,227.5,190,112,,,,,,,
1104,520,H,GoldenState,19,38,33,23,113,5.5,6,-240,4.5,,,,,,,
1105,701,V,Chicago,25,21,17,23,86,186.5,191,650,96,,,,,,,
1105,702,H,Cleveland,27,16,22,20,85,12,11.5,-900,9,,,,,,,
1105,703,V,SanAntonio,22,28,30,19,99,1,198,-101,3,,,,,,,
1105,704,H,Utah,32,28,33,20,113,201,1,-109,97.5,,,,,,,
1106,501,V,Atlanta,24,24,21,14,83,3,2.5,-7.5,4,,,,,,,
1106,502,H,Charlotte,28,33,23,19,103,177.5,180.5,120,91.5,,,,,,,
1106,503,V,Detroit,23,20,25,35,103,193,192,980,93.5,,,,,,,
1106,504,H,Orlando,40,18,24,28,110,14,13,-1180,2.5,,,,,,,
1106,505,V,Washington,19,22,24,21,86,1.5,207.5,113,3,,,,,,,
1106,506,H,Indiana,23,30,29,20,102,207.5,1.5,-123,104,,,,,,,
1106,507,V,NewJersey,20,27,26,21,94,190.5,194,800,98,,,,,,,
1106,508,H,Philadelphia,18,32,18,29,97,12,12,-1000,6.5,,,,,,,
1106,509,V,Phoenix,29,28,28,25,110,205.5,207,500,103,,,,,,,
1106,510,H,Boston,27,24,32,20,103,9.5,10.5,-700,9.5,,,,,,,
1106,511,V,Denver,21,17,18,32,88,1.5,1,-110,3,,,,,,,
1106,512,H,Miami,23,27,28,18,96,206,201.5,100,100,,,,,,,
1106,513,V,Milwaukee,16,17,31,23,87,185,189,120,0.5,,,,,,,
1106,514,H,Minnesota,24,14,14,20,72,2,2.5,-140,93,,,,,,,
1106,515,V,Toronto,19,30,34,24,107,206,205,180,103.5,,,,,,,
1106,516,H,NewOrleans,23,28,14,25,90,4.5,4.5,-220,2,,,,,,,
1106,517,V,Cleveland,40,23,14,23,100,8.5,8,-400,98,,,,,,,
1106,518,H,NewYork,21,19,18,33,91,205,200,320,2.5,,,,,,,
1106,519,V,OklahomaCity,21,24,24,25,94,190,189.5,240,94.5,,,,,,,
1106,520,H,Houston,26,24,30,25,105,6,6.5,-280,2,,,,,,,
1106,521,V,LAClippers,30,27,34,27,118,218,217,165,106.5,,,,,,,
1106,522,H,GoldenState,19,26,16,29,90,5,4,-190,5.5,,,,,,,
1106,523,V,Memphis,22,29,24,23,98,206,211,450,106,,,,,,,
1106,524,H,LALakers,25,24,38,27,114,10,9.5,-600,7,,,,,,,
1106,525,V,SanAntonio,14,26,18,26,84,184,185.5,155,1,,,,,,,
1106,526,H,Portland,29,22,17,28,96,3,4,-175,91.5,,,,,,,
1107,701,V,Denver,25,25,24,26,100,210.5,210.5,130,2,,,,,,,
1107,702,H,Atlanta,33,27,30,35,125,3,3,-150,103.5,,,,,,,
1107,703,V,Boston,18,21,20,27,86,13.5,14,-1500,9,,,,,,,
1107,704,H,NewJersey,19,21,21,15,76,182.5,179,950,89,,,,,,,
1107,705,V,Charlotte,28,25,17,20,90,176.5,176.5,250,89.5,,,,,,,
1107,706,H,Chicago,26,20,27,20,93,7,6.5,-300,6,,,,,,,
1107,707,V,Toronto,25,23,22,31,101,203,202.5,280,100.5,,,,,,,
1107,708,H,Dallas,26,29,30,44,129,7.5,7.5,-340,2,,,,,,,
1107,709,V,NewYork,22,13,23,29,87,194.5,195,165,3.5,,,,,,,
1107,710,H,Milwaukee,40,26,17,19,102,4.5,4.5,-185,98,,,,,,,
1107,711,V,Sacramento,19,36,30,19,104,207.5,206.5,1400,103,,,,,,,
1107,712,H,Utah,30,25,13,31,99,14,15.5,-2500,9,,,,,,,
1107,713,V,Memphis,29,31,22,28,110,204,201,165,100.5,,,,,,,
1107,714,H,LAClippers,23,32,27,31,113,5,4,-185,4,,,,,,,
1108,501,V,Philadelphia,19,18,22,22,81,188,191.5,105,1,,,,,,,
1108,502,H,Detroit,23,20,21,24,88,1,2,-125,95.5,,,,,,,
1108,503,V,Phoenix,26,30,24,22,102,2,2,-135,108,,,,,,,
1108,504,H,Washington,29,22,20,19,90,215,216,115,pk,,,,,,,
1108,505,V,Orlando,25,19,13,17,74,5.5,6,-260,6,,,,,,,
1108,506,H,OklahomaCity,23,30,26,23,102,194,193,220,96,,,,,,,
1108,507,V,GoldenState,29,25,23,30,107,5.5,3,-155,4.5,,,,,,,
1108,508,H,Sacramento,30,35,31,24,120,217.5,216.5,135,107.5,,,,,,,
1108,509,V,Minnesota,24,21,22,26,93,185.5,188.5,850,95,,,,,,,
1108,510,H,Portland,33,29,30,24,116,15,12.5,-1300,2.5,,,,,,,
1108,511,V,NewOrleans,17,25,16,30,88,200,197,250,0.5,,,,,,,
1108,512,H,LALakers,27,28,27,22,104,7.5,7,-300,97.5,,,,,,,
1109,701,V,Phoenix,25,29,30,35,119,215,2,-125,4.5,,,,,,,
1109,702,H,Philadelphia,27,39,20,29,115,pk,213.5,105,106.5,,,,,,,
1109,703,V,Utah,25,23,30,17,95,5,5.5,-240,106,,,,,,,
1109,704,H,NewYork,18,13,33,29,93,210,211,190,2,,,,,,,
1109,705,V,Toronto,32,31,32,29,124,201,201.5,160,102,,,,,,,
1109,706,H,SanAntonio,31,32,30,38,131,6.5,4.5,-190,3,,,,,,,
1109,707,V,Minnesota,29,26,22,28,105,212,214.5,210,2.5,,,,,,,
1109,708,H,GoldenState,33,41,37,35,146,7.5,6,-260,104,,,,,,,
1109,709,V,NewOrleans,35,25,34,18,112,198,2,-130,94.5,,,,,,,
1109,710,H,LAClippers,28,18,17,21,84,1.5,193,110,5,,,,,,,
1110,501,V,Orlando,35,22,20,16,93,3.5,4,-175,89,,,,,,,
1110,502,H,Charlotte,23,18,30,10,81,185.5,182,155,2.5,,,,,,,
1110,503,V,Washington,27,22,13,14,76,186.5,185,360,93.5,,,,,,,
1110,504,H,Miami,21,20,24,25,90,7,8.5,-460,8,,,,,,,
1110,505,V,Denver,22,24,25,19,90,2,2.5,-145,1,,,,,,,
1110,506,H,Chicago,20,23,23,23,89,200.5,204.5,125,104.5,,,,,,,
1110,507,V,Portland,24,21,24,24,93,6.5,6.5,-260,4.5,,,,,,,
1110,508,H,Memphis,21,24,16,18,79,204,202,220,101,,,,,,,
1110,509,V,Houston,37,24,13,29,103,198.5,199.5,235,101,,,,,,,
1110,510,H,Dallas,28,29,26,38,121,7.5,6.5,-275,6.5,,,,,,,
1110,511,V,OklahomaCity,26,25,26,21,98,1.5,2,-135,1.5,,,,,,,
1110,512,H,Sacramento,24,30,29,18,101,198,199,115,101,,,,,,,
1111,701,V,GoldenState,28,19,23,24,94,225,225,180,2.5,,,,,,,
1111,702,H,Indiana,32,32,20,24,108,5,5.5,-230,110.5,,,,,,,
1111,703,V,Chicago,25,35,18,11,89,207.5,207,190,104,,,,,,,
1111,704,H,Toronto,27,26,24,22,99,5,5.5,-240,5.5,,,,,,,
1111,705,V,Atlanta,23,24,37,30,114,5,5.5,-235,4.5,,,,,,,
1111,706,H,NewYork,25,29,23,24,101,207.5,208,185,102.5,,,,,,,
1111,707,V,Philadelphia,22,21,17,22,82,7,5,-215,2,,,,,,,
1111,708,H,NewJersey,21,19,18,21,79,190.5,188.5,175,95,,,,,,,
1111,709,V,Utah,23,21,18,24,86,189.5,190,600,97.5,,,,,,,
1111,710,H,Boston,28,26,30,21,105,12,10.5,-800,3,,,,,,,
1111,711,V,Charlotte,22,19,12,22,75,172,171.5,165,1.5,,,,,,,
1111,712,H,Detroit,20,32,29,17,98,4,4.5,-195,85,,,,,,,
1111,713,V,Denver,27,20,25,30,102,3.5,3.5,-165,3,,,,,,,
1111,714,H,Milwaukee,27,26,28,27,108,196.5,198,145,100,,,,,,,
1111,715,V,Portland,18,32,35,22,107,8,7.5,-350,2,,,,,,,
1111,716,H,Minnesota,23,19,19,23,84,192,189.5,280,94,,,,,,,
1111,717,V,Cleveland,35,31,22,14,102,190.5,190.5,110,94.5,,,,,,,
1111,718,H,Orlando,28,23,17,25,93,2,pk,-130,4,,,,,,,
1111,719,V,Memphis,17,21,19,22,79,213.5,212.5,400,103.5,,,,,,,
1111,720,H,Houston,20,23,31,30,104,9,9.5,-550,4.5,,,,,,,
1111,721,V,Dallas,21,17,26,19,83,198,1.5,-130,4,,,,,,,
1111,722,H,SanAntonio,21,30,28,13,92,1,196.5,110,96,,,,,,,
1111,723,V,NewOrleans,29,27,21,27,104,216,217.5,240,2.5,,,,,,,
1111,724,H,Phoenix,40,35,26,23,124,7,6.5,-290,107,,,,,,,
1111,725,V,OklahomaCity,22,21,23,17,83,184,186,110,93.5,,,,,,,
1111,726,H,LAClippers,22,26,21,10,79,2.5,2,-130,pk,,,,,,,
1112,501,V,Cleveland,35,27,30,19,111,1,2,-130,91,,,,,,,
1112,502,H,Miami,33,24,27,20,104,181.5,179.5,110,2,,,,,,,
1112,503,V,Phoenix,24,21,26,31,102,219,221,280,108.5,,,,,,,
1112,504,H,LALakers,31,28,33,29,121,7.5,7.5,-340,pk,,,,,,,
1113,701,V,Utah,30,34,28,20,112,199,196,135,100,,,,,,,
1113,702,H,Philadelphia,32,18,19,21,90,pk,3,-160,5.5,,,,,,,
1113,703,V,NewJersey,27,15,14,16,72,189,188.5,1400,94.5,,,,,,,
1113,704,H,Orlando,23,19,20,26,88,15.5,14.5,-3000,9,,,,,,,
1113,705,V,GoldenState,32,34,20,35,121,224.5,226,135,111,,,,,,,
1113,706,H,NewYork,26,26,28,27,107,2,4.5,-160,6,,,,,,,
1113,707,V,Portland,14,23,28,21,86,1.5,3.5,-160,0.5,,,,,,,
1113,708,H,NewOrleans,12,21,21,24,78,191,187.5,135,92,,,,,,,
1113,709,V,Dallas,22,22,29,16,89,11,11,-850,3,,,,,,,
1113,710,H,Minnesota,22,11,21,23,77,195,197,600,96,,,,,,,
1113,711,V,Atlanta,24,17,31,25,97,194.5,193,385,97.5,,,,,,,
1113,712,H,Boston,22,20,28,16,86,8.5,9,-510,5.5,,,,,,,
1113,713,V,Houston,30,22,25,23,100,4,5,-210,5,,,,,,,
1113,714,H,Sacramento,30,33,19,27,109,210,207.5,175,102.5,,,,,,,
1113,715,V,LALakers,28,28,8,15,79,212,212,135,106,,,,,,,
1113,716,H,Denver,26,32,29,18,105,3,4,-160,2.5,,,,,,,
1113,717,V,Toronto,17,28,29,30,104,2.5,3,-160,4,,,,,,,
1113,718,H,LAClippers,34,20,20,15,89,209,203,135,101,,,,,,,
1114,501,V,Boston,27,34,18,25,104,6,7.5,-340,1.5,,,,,,,
1114,502,H,Indiana,26,26,32,29,113,190,188.5,280,94,,,,,,,
1114,503,V,Detroit,27,28,23,28,106,185,184.5,145,90.5,,,,,,,
1114,504,H,Washington,18,29,33,23,103,5,3.5,-165,4,,,,,,,
1114,505,V,Portland,18,20,17,25,80,3.5,2.5,-150,84,,,,,,,
1114,506,H,Charlotte,18,12,21,23,74,172,171.5,130,1,,,,,,,
1114,507,V,NewOrleans,28,27,23,20,98,205,196,700,96,,,,,,,
1114,508,H,Atlanta,37,28,26,30,121,8,12.5,-1000,3.5,,,,,,,
1114,509,V,Utah,22,32,18,31,103,190.5,190,1000,97.5,,,,,,,
1114,510,H,Cleveland,34,25,19,29,107,13,12.5,-1600,6.5,,,,,,,
1114,511,V,NewJersey,16,22,19,23,80,180,178,750,87.5,,,,,,,
1114,512,H,Miami,17,23,18,23,81,13.5,12.5,-1200,7.5,,,,,,,
1114,513,V,Philadelphia,23,18,18,29,88,188,190,250,94.5,,,,,,,
1114,514,H,Chicago,22,18,23,31,94,6.5,7,-300,5.5,,,,,,,
1114,515,V,Minnesota,23,22,18,24,87,204,206,325,100,,,,,,,
1114,516,H,Memphis,25,20,23,29,97,8,9,-450,6,,,,,,,
1114,517,V,GoldenState,30,27,26,42,125,208,210.5,300,105,,,,,,,
1114,518,H,Milwaukee,21,28,43,37,129,7,7.5,-360,6,,,,,,,
1114,519,V,OklahomaCity,25,21,32,23,101,184,186,320,93.5,,,,,,,
1114,520,H,SanAntonio,25,28,21,24,98,8,8.5,-400,2.5,,,,,,,
1115,701,V,Dallas,22,18,31,24,95,3.5,4.5,-200,4,,,,,,,
1115,702,H,Detroit,18,28,20,24,90,184.5,184.5,170,90,,,,,,,
1115,703,V,LAClippers,26,23,26,26,101,179,184.5,180,90,,,,,,,
1115,704,H,OklahomaCity,23,18,35,17,93,5,5,-220,4.5,,,,,,,
1115,705,V,Toronto,33,20,26,21,100,232.5,233,280,116.5,,,,,,,
1115,706,H,Phoenix,31,19,27,24,101,7.5,7.5,-340,6,,,,,,,
1115,707,V,Houston,23,29,28,21,101,204.5,201.5,370,100.5,,,,,,,
1115,708,H,LALakers,29,25,19,18,91,8.5,9,-470,5.5,,,,,,,
1116,501,V,Portland,28,20,19,18,95,190.5,189.5,140,95.5,,,,,,,
1116,502,H,Atlanta,20,23,15,27,99,3.5,3.5,-160,3.5,,,,,,,
1116,503,V,Charlotte,21,31,16,23,91,179.5,184.5,700,92.5,,,,,,,
1116,504,H,Orlando,25,25,26,21,97,12,12,-1000,8.5,,,,,,,
1116,505,V,Dallas,33,33,19,19,115,1.5,192.5,105,96.5,,,,,,,
1116,506,H,Milwaukee,28,26,28,22,113,189.5,1.5,-125,4,,,,,,,
1117,701,V,GoldenState,30,25,24,29,108,215,216.5,1300,106.5,,,,,,,
1117,702,H,Cleveland,35,31,24,24,114,15.5,14.5,-2200,5,,,,,,,
1117,703,V,Indiana,31,23,13,24,91,4,3.5,-185,93.5,,,,,,,
1117,704,H,NewJersey,21,25,14,23,83,188.5,189,155,2,,,,,,,
1117,705,V,OklahomaCity,25,20,29,26,100,177,184,235,92,,,,,,,
1117,706,H,Miami,17,25,17,28,87,6,6.5,-295,6.5,,,,,,,
1117,707,V,LAClippers,22,31,22,27,102,192,2.5,-130,3,,,,,,,
1117,708,H,NewOrleans,29,29,26,26,110,3,192.5,110,94.5,,,,,,,
1117,709,V,Phoenix,22,30,26,33,111,222.5,218,125,107,,,,,,,
1117,710,H,Houston,34,21,27,23,105,1.5,2,-145,pk,,,,,,,
1117,711,V,Toronto,29,35,25,23,112,220.5,219,400,109,,,,,,,
1117,712,H,Denver,28,36,33,33,130,8,9.5,-525,6.5,,,,,,,
1117,713,V,Chicago,27,34,25,15,101,195.5,2.5,-140,96.5,,,,,,,
1117,714,H,Sacramento,23,24,25,15,87,1,196.5,120,3,,,,,,,
1117,715,V,Detroit,22,20,21,30,93,191,191,425,93.5,,,,,,,
1117,716,H,LALakers,23,34,31,18,106,11.5,9.5,-550,1.5,,,,,,,
1118,501,V,Cleveland,32,19,21,19,91,5,3.5,-160,96,,,,,,,
1118,502,H,Washington,22,22,31,33,108,194,195,140,0.5,,,,,,,
1118,503,V,Miami,23,20,29,18,90,190.5,191.5,270,1.5,,,,,,,
1118,504,H,Atlanta,26,34,19,26,105,7.5,7.5,-330,95.5,,,,,,,
1118,505,V,Charlotte,22,21,22,19,84,182.5,183,135,1.5,,,,,,,
1118,506,H,Philadelphia,29,23,17,17,86,4,3,-155,89.5,,,,,,,
1118,507,V,NewYork,25,29,22,34,110,216,214.5,205,2,,,,,,,
1118,508,H,Indiana,26,43,17,17,103,6.5,6,-245,105,,,,,,,
1118,509,V,OklahomaCity,17,26,15,36,94,190,195.5,700,96.5,,,,,,,
1118,510,H,Orlando,28,33,27,20,108,11.5,12,-1000,1.5,,,,,,,
1118,511,V,GoldenState,23,25,19,28,95,208.5,211,1650,105.5,,,,,,,
1118,512,H,Boston,27,22,31,29,109,16,16,-2600,9,,,,,,,
1118,513,V,LAClippers,23,22,19,27,91,198.5,199,190,97.5,,,,,,,
1118,514,H,Memphis,27,28,27,24,106,4,5.5,-230,0.5,,,,,,,
1118,515,V,Houston,23,25,20,29,97,7.5,6,-245,1.5,,,,,,,
1118,516,H,Minnesota,21,21,25,17,84,200,196.5,205,98,,,,,,,
1118,517,V,NewJersey,19,29,12,25,85,184.5,185.5,425,93,,,,,,,
1118,518,H,Milwaukee,20,21,28,30,99,10,10,-550,9,,,,,,,
1118,519,V,Toronto,17,35,23,16,91,215,211.5,295,105.5,,,,,,,
1118,520,H,Utah,33,28,17,26,104,7,7.5,-355,1,,,,,,,
1118,521,V,SanAntonio,21,14,24,25,94,197,195.5,130,94.5,,,,,,,
1118,522,H,Dallas,19,18,26,21,99,2,3,-150,2,,,,,,,
1118,523,V,Detroit,17,21,12,31,81,179.5,180,460,90.5,,,,,,,
1118,524,H,Portland,21,27,22,17,87,10.5,10,-560,2.5,,,,,,,
1119,701,V,Phoenix,22,27,27,27,103,6,8,-400,7,,,,,,,
1119,702,H,NewOrleans,26,26,26,32,110,218,216,330,107,,,,,,,
